,№,Language,Language (local),Wiki,Articles,All pages,Edits,Admins,Users,Active users,Files,Depth
210,211,Lezghian,лезги,lez,4318,13710,92000,3,10370,17,10,31
211,212,Lingua Franca Nova,Lingua Franca Nova,lfn,4200,6718,38846,1,10750,25,0,2
212,213,Mirandese,Mirandés,mwl,4154,10571,100157,1,12778,16,0,22
213,214,Livvi-Karelian,livvinkarjala,olo,4140,11520,33861,2,6549,15,0,9
214,215,Saterland Frisian,Seeltersk,stq,4094,10755,122100,5,13026,10,429,30
215,216,Kashmiri,कॉशुर / کٲشُر,ks,3996,12356,79248,2,10176,14,11,28
216,217,Lao,ລາວ,lo,3989,13487,101079,3,17227,29,0,42
217,218,Old English,Ænglisc,ang,3947,17088,209138,2,121794,47,299,135
218,219,Friulian,furlan,fur,3846,8852,171852,2,13883,15,318,32
219,220,Romansh,rumantsch,rm,3760,9623,164065,3,19461,27,51,41
220,221,Ladino,Ladino,lad,3627,13005,210881,4,20569,21,23,108
221,222,Goan Konkani,गोंयची कोंकणी / Gõychi Konknni,gom,3571,9289,207698,4,9282,13,0,57
222,223,Extremaduran,estremeñu,ext,3473,8127,124350,2,16848,18,0,27
223,224,Komi-Permyak,перем коми,koi,3443,11574,60936,1,8303,9,0,29
224,225,Tuvinian,тыва дыл,tyv,3434,11858,44579,1,8699,42,0,22
225,226,Lower Sorbian,dolnoserbski,dsb,3338,11236,143905,1,17967,23,0,71
226,227,Avaric,авар,av,3337,15944,86830,2,14210,17,0,77
227,228,Moksha,мокшень,mdf,3330,14692,71377,3,9068,15,0,56
228,229,Doteli,डोटेली,dty,3327,19823,238644,3,6042,14,3,295
229,230,Lingala,lingála,ln,3327,8716,122703,4,12597,16,32,36
230,231,Kara-Kalpak,Qaraqalpaqsha,kaa,3321,9610,61240,5,11325,49,23,22
231,232,Papiamento,Papiamentu,pap,3219,6612,99394,5,14141,16,0,16
232,233,Chavacano,Chavacano de Zamboanga,cbk-zam,3128,8281,112504,1,14068,13,0,36
233,234,Twi,Twi,tw,3098,6423,109369,2,14893,42,0,19
234,235,Divehi,ދިވެހިބަސް,dv,3030,11465,130760,4,24360,11,932,88
235,236,Colognian,Ripoarisch,ksh,2937,10583,1607475,3,22172,13,0,1029
236,237,Gagauz,Gagauz,gag,2803,6609,68323,1,13539,21,0,19
237,238,Russia Buriat,буряад,bxr,2772,11083,70442,1,14689,15,9,57
238,239,Palatine German,Pälzisch,pfl,2742,6928,90412,4,11369,15,0,30
239,240,Ganda,Luganda,lg,2700,6745,30053,2,7906,16,0,10
240,241,Zhuang,Vahcuengh,za,2600,4979,40972,2,10294,16,0,6
241,242,Pali,पालि,pi,2548,4655,101968,2,7021,11,1,14
242,243,Sakizaya,Sakizaya,szy,2511,5560,131440,1,2675,15,0,34
243,244,Pangasinan,Pangasinan,pag,2506,6508,75993,1,7977,15,0,29
244,245,Hawaiian,Hawaiʻi,haw,2501,5620,97415,1,16217,22,0,26
245,246,Awadhi,अवधी,awa,2434,5564,25123,2,2423,9,0,7
246,247,Tayal,Tayal,tay,2430,2893,54723,1,1451,13,0,0
247,248,Pa'O,ပအိုဝ်ႏဘာႏသာႏ,blk,2385,5665,26183,3,873,19,0,8
248,249,Ingush,гӀалгӀай,inh,2174,13308,62349,2,3844,19,43,122
249,250,Karachay-Balkar,къарачай-малкъар,krc,2079,14368,107127,1,10136,12,0,260
250,251,Kalmyk,хальмг,xal,2049,12161,88709,1,9785,21,0,177
251,252,Pennsylvania German,Deitsch,pdc,2004,5922,105600,1,31955,17,0,68
252,253,Tongan,lea faka-Tonga,to,1961,5413,42632,2,9925,17,12,24
